iter	Passed	Remaining
0	0	60
1	1	55
2	1	50
3	1	45
4	2	43
5	2	41
6	3	40
7	3	38
8	3	37
9	4	37
10	4	37
11	5	38
12	5	37
13	5	36
14	6	35
15	6	34
16	6	33
17	7	33
18	7	33
19	8	33
20	8	32
21	9	31
22	9	31
23	9	30
24	10	30
25	10	30
26	11	29
27	11	29
28	11	29
29	12	28
30	12	28
31	13	28
32	13	27
33	14	28
34	15	28
35	15	28
36	16	28
37	17	27
38	17	27
39	17	26
40	18	26
41	18	25
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	22	22
49	22	22
50	22	22
51	23	21
52	24	21
53	24	20
54	24	20
55	25	19
56	25	19
57	25	18
58	26	18
59	26	17
60	27	17
61	27	17
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	14
69	31	13
70	32	13
71	32	12
72	33	12
73	33	11
74	34	11
75	34	10
76	35	10
77	35	10
78	35	9
79	36	9
80	36	8
81	36	8
82	37	7
83	37	7
84	37	6
85	38	6
86	38	5
87	38	5
88	39	4
89	39	4
90	40	3
91	40	3
92	41	3
93	41	2
94	42	2
95	42	1
96	43	1
97	43	0
98	43	0
99	44	0
