iter	Passed	Remaining
0	58	58587
1	59	29567
2	59	19936
3	60	15157
4	61	12273
5	62	10327
6	62	8917
7	63	7866
8	64	7049
9	64	6391
10	65	5860
11	65	5417
12	66	5053
13	67	4745
14	67	4465
15	68	4214
16	69	3995
17	69	3795
18	70	3617
19	70	3458
20	70	3309
21	71	3185
22	72	3062
23	72	2951
24	73	2851
25	73	2759
26	74	2699
27	75	2620
28	76	2548
29	76	2475
30	77	2407
31	77	2342
32	77	2284
33	78	2226
34	78	2173
35	79	2123
36	79	2075
37	80	2030
38	80	1991
39	82	1972
40	82	1937
41	83	1904
42	84	1874
43	84	1843
44	85	1810
45	86	1786
46	86	1761
47	87	1736
48	88	1710
49	88	1688
50	90	1680
51	91	1662
52	91	1640
53	92	1618
54	93	1609
55	94	1592
56	95	1579
57	96	1561
58	96	1542
59	97	1524
60	98	1512
61	99	1498
62	99	1481
63	100	1465
64	100	1451
65	101	1434
66	102	1420
67	103	1419
68	104	1412
69	105	1404
70	106	1392
71	107	1379
72	107	1370
73	108	1359
74	109	1347
75	110	1337
76	110	1330
77	111	1319
78	112	1308
79	112	1299
80	113	1289
81	114	1279
82	114	1266
83	115	1255
84	115	1245
85	116	1235
86	116	1224
87	117	1214
88	117	1207
89	118	1198
90	119	1191
91	119	1184
92	120	1178
93	121	1170
94	122	1162
95	122	1154
96	123	1146
97	123	1139
98	124	1131
99	125	1126
100	125	1118
101	126	1112
102	126	1104
103	127	1097
104	128	1091
105	128	1085
106	129	1079
107	129	1072
108	130	1066
109	131	1060
110	131	1054
111	132	1047
112	132	1042
113	133	1035
114	133	1029
115	134	1022
116	134	1015
117	135	1009
118	135	1003
119	136	997
120	136	991
121	136	985
122	137	980
123	138	975
124	138	970
125	139	964
126	139	958
127	140	953
128	141	954
129	142	950
130	142	946
131	143	942
132	143	937
133	144	932
134	144	927
135	145	922
136	146	919
137	146	915
138	147	910
139	147	906
140	148	902
141	148	897
142	149	893
143	149	889
144	150	886
145	150	881
146	151	878
147	151	873
148	152	869
149	152	865
150	153	861
151	153	857
152	154	853
153	154	848
154	154	844
155	155	840
156	155	837
157	156	833
158	157	830
159	157	826
160	157	822
161	158	818
162	158	815
163	159	812
164	159	808
165	160	807
166	161	804
167	161	801
168	162	798
169	162	794
170	163	791
171	163	789
172	164	786
173	165	785
174	165	781
175	166	779
176	166	776
177	167	773
178	167	770
179	168	767
180	168	764
181	169	762
182	170	759
183	170	757
184	171	755
185	171	752
186	172	750
187	173	747
188	173	744
189	174	742
190	174	739
191	175	737
192	175	734
193	176	732
194	176	729
195	177	727
196	177	724
197	178	722
198	179	721
199	179	719
200	180	717
201	181	715
202	181	713
203	182	711
204	182	709
205	183	706
206	183	704
207	184	701
208	184	699
209	185	697
210	185	695
211	186	692
212	186	690
213	187	687
214	187	685
215	188	682
216	189	682
217	189	680
218	190	678
219	190	676
220	191	675
221	192	673
222	192	671
223	193	671
224	194	669
225	195	668
226	195	666
227	196	664
228	196	662
229	197	661
230	197	658
231	198	656
232	198	654
233	199	652
234	199	649
235	200	647
236	200	645
237	200	642
238	201	640
239	201	638
240	201	635
241	202	633
242	203	633
243	203	630
244	204	628
245	204	626
246	205	626
247	206	625
248	206	623
249	207	622
250	207	620
251	208	618
252	208	616
253	209	614
254	209	612
255	210	610
256	210	608
257	210	606
258	211	605
259	211	603
260	212	602
261	213	600
262	213	598
263	214	596
264	214	595
265	215	593
266	215	591
267	215	589
268	216	588
269	217	587
270	217	585
271	218	584
272	218	582
273	219	580
274	219	579
275	220	577
276	220	576
277	221	575
278	222	573
279	222	572
280	222	570
281	223	568
282	223	567
283	224	565
284	224	563
285	225	562
286	225	560
287	225	558
288	226	557
289	227	556
290	227	554
291	228	553
292	228	551
293	229	550
294	229	548
295	229	546
296	230	546
297	231	544
298	231	543
299	232	541
300	232	540
301	233	539
302	233	538
303	234	536
304	234	535
305	235	533
306	235	532
307	236	530
308	236	528
309	236	527
310	237	525
311	237	524
312	237	522
313	238	520
314	238	519
315	239	517
316	239	515
317	239	514
318	240	513
319	240	511
320	241	510
321	241	508
322	242	507
323	242	505
324	242	504
325	243	502
326	243	500
327	243	499
328	244	499
329	245	498
330	245	496
331	246	495
332	246	494
333	247	493
334	248	492
335	248	491
336	249	490
337	249	488
338	249	487
339	250	486
340	250	484
341	251	483
342	252	482
343	252	481
344	252	480
345	253	478
346	253	477
347	254	476
348	254	474
349	255	473
350	255	472
351	256	471
352	256	470
353	256	468
354	257	467
355	257	466
356	258	465
357	259	464
358	259	463
359	260	462
360	260	461
361	261	460
362	262	459
363	262	459
364	263	458
365	263	457
366	264	455
367	264	454
368	265	453
369	265	452
370	265	450
371	266	449
372	266	448
373	267	447
374	267	445
375	267	444
376	268	443
377	268	442
378	269	440
379	269	439
380	269	438
381	270	437
382	270	435
383	270	434
384	271	433
385	271	431
386	271	430
387	272	429
388	273	429
389	273	428
390	274	427
391	274	425
392	274	424
393	275	423
394	275	422
395	276	421
396	277	420
397	277	420
398	278	419
399	278	417
400	279	416
401	279	415
402	280	414
403	280	413
404	280	412
405	281	411
406	281	410
407	282	409
408	282	408
409	283	407
410	283	406
411	284	405
412	284	404
413	285	403
414	285	402
415	286	402
416	286	401
417	287	400
418	287	399
419	288	398
420	289	397
421	289	396
422	290	396
423	290	395
424	291	394
425	291	393
426	292	392
427	292	391
428	293	390
429	293	389
430	294	388
431	294	387
432	294	386
433	295	385
434	295	384
435	296	383
436	296	382
437	297	381
438	297	380
439	298	379
440	298	378
441	299	377
442	299	377
443	300	376
444	301	375
445	301	374
446	301	373
447	302	372
448	303	371
449	303	371
450	304	370
451	305	369
452	305	368
453	305	367
454	306	366
455	306	365
456	307	365
457	307	364
458	308	363
459	308	362
460	309	361
461	309	360
462	310	360
463	311	359
464	311	358
465	312	357
466	312	356
467	313	356
468	314	355
469	314	354
470	314	353
471	315	352
472	315	351
473	315	350
474	316	350
475	317	349
476	317	348
477	318	347
478	319	347
479	319	346
480	320	345
481	320	344
482	320	343
483	321	342
484	321	341
485	321	340
486	322	339
487	322	338
488	323	337
489	323	336
490	324	335
491	324	335
492	324	334
493	325	333
494	325	332
495	326	331
496	326	330
497	327	330
498	328	329
499	328	328
500	328	327
501	329	326
502	329	325
503	330	325
504	331	324
505	331	323
506	332	323
507	332	322
508	333	321
509	333	320
510	334	319
511	334	319
512	335	318
513	335	317
514	335	316
515	336	315
516	336	314
517	337	313
518	337	312
519	337	311
520	338	311
521	338	310
522	339	309
523	339	308
524	340	308
525	341	308
526	342	307
527	342	306
528	343	306
529	344	305
530	345	304
531	345	304
532	346	303
533	346	302
534	347	301
535	348	301
536	348	300
537	348	299
538	349	298
539	349	297
540	349	296
541	350	296
542	350	295
543	351	294
544	351	293
545	351	292
546	352	291
547	352	290
548	353	290
549	353	289
550	354	288
551	354	288
552	355	287
553	356	286
554	356	286
555	357	285
556	358	284
557	358	283
558	358	283
559	359	282
560	359	281
561	360	280
562	360	280
563	361	279
564	361	278
565	362	277
566	362	277
567	363	276
568	363	275
569	364	274
570	364	273
571	364	273
572	365	272
573	365	271
574	366	270
575	366	269
576	367	269
577	367	268
578	368	267
579	368	266
580	368	266
581	369	265
582	369	264
583	370	263
584	370	263
585	371	262
586	371	261
587	372	260
588	372	260
589	373	259
590	373	258
591	374	257
592	374	257
593	374	256
594	375	255
595	376	254
596	376	254
597	376	253
598	377	252
599	377	251
600	378	251
601	378	250
602	379	249
603	379	248
604	379	248
605	380	247
606	380	246
607	381	245
608	381	245
609	382	244
610	382	243
611	382	242
612	383	242
613	383	241
614	384	240
615	384	239
616	385	239
617	385	238
618	386	237
619	386	236
620	387	236
621	387	235
622	388	234
623	388	234
624	389	233
625	389	232
626	390	232
627	390	231
628	391	230
629	391	229
630	391	229
631	392	228
632	392	227
633	393	226
634	393	226
635	394	225
636	394	225
637	395	224
638	395	223
639	396	222
640	396	222
641	397	221
642	398	220
643	398	220
644	399	219
645	399	219
646	400	218
647	400	217
648	401	217
649	402	216
650	403	216
651	404	216
652	405	215
653	405	214
654	406	214
655	407	213
656	407	212
657	408	212
658	408	211
659	409	210
660	409	210
661	410	209
662	410	208
663	411	208
664	412	207
665	412	207
666	413	206
667	413	205
668	414	205
669	414	204
670	415	203
671	415	202
672	416	202
673	416	201
674	417	200
675	417	200
676	418	199
677	418	198
678	418	198
679	419	197
680	419	196
681	420	195
682	420	195
683	421	194
684	421	193
685	422	193
686	422	192
687	422	191
688	423	191
689	423	190
690	424	189
691	424	188
692	425	188
693	425	187
694	426	186
695	426	186
696	427	185
697	427	185
698	428	184
699	428	183
700	429	183
701	429	182
702	430	181
703	430	181
704	431	180
705	431	179
706	432	179
707	432	178
708	433	177
709	433	177
710	433	176
711	434	175
712	434	174
713	434	174
714	435	173
715	435	172
716	436	172
717	437	171
718	437	171
719	438	170
720	438	169
721	439	169
722	440	168
723	440	168
724	441	167
725	442	166
726	442	166
727	442	165
728	443	164
729	443	164
730	444	163
731	444	162
732	444	162
733	445	161
734	445	160
735	446	160
736	446	159
737	446	158
738	447	157
739	447	157
740	448	156
741	448	155
742	448	155
743	449	154
744	449	153
745	449	153
746	450	152
747	450	151
748	451	151
749	451	150
750	451	149
751	452	149
752	452	148
753	452	147
754	453	147
755	453	146
756	454	145
757	454	145
758	455	144
759	455	143
760	455	143
761	456	142
762	456	141
763	457	141
764	457	140
765	457	139
766	458	139
767	458	138
768	458	137
769	459	137
770	459	136
771	460	135
772	460	135
773	461	134
774	461	134
775	461	133
776	462	132
777	462	132
778	463	131
779	463	130
780	463	130
781	464	129
782	464	128
783	464	128
784	465	127
785	465	126
786	465	126
787	466	125
788	466	124
789	467	124
790	467	123
791	468	122
792	468	122
793	468	121
794	469	121
795	470	120
796	470	119
797	471	119
798	471	118
799	472	118
800	472	117
801	473	116
802	474	116
803	474	115
804	475	115
805	475	114
806	476	113
807	476	113
808	477	112
809	477	112
810	478	111
811	478	110
812	479	110
813	479	109
814	479	108
815	480	108
816	480	107
817	480	107
818	481	106
819	481	105
820	482	105
821	482	104
822	483	103
823	483	103
824	483	102
825	484	102
826	484	101
827	485	100
828	485	100
829	486	99
830	486	98
831	487	98
832	487	97
833	488	97
834	488	96
835	489	95
836	489	95
837	490	94
838	490	94
839	490	93
840	491	92
841	491	92
842	492	91
843	492	91
844	493	90
845	493	89
846	494	89
847	494	88
848	495	88
849	495	87
850	496	86
851	496	86
852	497	85
853	497	85
854	498	84
855	498	83
856	499	83
857	499	82
858	500	82
859	500	81
860	501	80
861	501	80
862	502	79
863	502	79
864	502	78
865	503	77
866	503	77
867	504	76
868	504	76
869	505	75
870	505	74
871	505	74
872	506	73
873	506	73
874	507	72
875	507	71
876	507	71
877	508	70
878	508	70
879	509	69
880	509	68
881	510	68
882	510	67
883	511	67
884	511	66
885	512	65
886	513	65
887	513	64
888	514	64
889	514	63
890	515	63
891	515	62
892	516	61
893	516	61
894	516	60
895	517	60
896	517	59
897	518	58
898	518	58
899	518	57
900	519	57
901	519	56
902	519	55
903	520	55
904	520	54
905	521	54
906	521	53
907	521	52
908	522	52
909	522	51
910	523	51
911	524	50
912	524	49
913	525	49
914	525	48
915	526	48
916	526	47
917	526	47
918	527	46
919	527	45
920	527	45
921	528	44
922	529	44
923	529	43
924	530	42
925	530	42
926	531	41
927	531	41
928	532	40
929	532	40
930	532	39
931	533	38
932	533	38
933	534	37
934	534	37
935	535	36
936	535	36
937	536	35
938	536	34
939	536	34
940	537	33
941	538	33
942	538	32
943	539	31
944	539	31
945	540	30
946	540	30
947	541	29
948	541	29
949	541	28
950	542	27
951	542	27
952	543	26
953	543	26
954	543	25
955	544	25
956	544	24
957	545	23
958	545	23
959	546	22
960	546	22
961	547	21
962	547	21
963	547	20
964	548	19
965	548	19
966	549	18
967	549	18
968	549	17
969	550	17
970	550	16
971	551	15
972	551	15
973	551	14
974	552	14
975	552	13
976	553	13
977	553	12
978	554	11
979	554	11
980	554	10
981	555	10
982	555	9
983	556	9
984	556	8
985	556	7
986	557	7
987	557	6
988	558	6
989	558	5
990	558	5
991	559	4
992	559	3
993	560	3
994	560	2
995	560	2
996	561	1
997	561	1
998	562	0
999	562	0
